length,start,gap,numbers,xy_pairs
1,0,0,[0],"[(0, 0)]"
2,0,1,"[0, 1]","[(0, 0), (0, 1)]"
3,1,3,"[1, 4, 7]","[(0, 1), (0, 2), (1, 2)]"
4,1,6,"[1, 7, 13, 19]","[(0, 1), (1, 2), (1, 3), (2, 3)]"
5,1,6,"[1, 7, 13, 19, 25]","[(0, 1), (1, 2), (1, 3), (2, 3), (0, 5)]"
6,1,6,"[1, 7, 13, 19, 25, 31]","[(0, 1), (1, 2), (1, 3), (2, 3), (0, 5), (1, 5)]"
7,1,6,"[1, 7, 13, 19, 25, 31, 37]","[(0, 1), (1, 2), (1, 3), (2, 3), (0, 5), (1, 5), (3, 4)]"
8,1,6,"[1, 7, 13, 19, 25, 31, 37, 43]","[(0, 1), (1, 2), (1, 3), (2, 3), (0, 5), (1, 5), (3, 4), (1, 6)]"
9,1,6,"[1, 7, 13, 19, 25, 31, 37, 43, 49]","[(0, 1), (1, 2), (1, 3), (2, 3), (0, 5), (1, 5), (3, 4), (1, 6), (0, 7)]"
10,1,30,"[1, 31, 61, 91, 121, 151, 181, 211, 241, 271]","[(0, 1), (1, 5), (4, 5), (1, 9), (0, 11), (5, 9), (4, 11), (1, 14), (1, 15), (9, 10)]"
11,1,30,"[1, 31, 61, 91, 121, 151, 181, 211, 241, 271, 301]","[(0, 1), (1, 5), (4, 5), (1, 9), (0, 11), (5, 9), (4, 11), (1, 14), (1, 15), (9, 10), (4, 15)]"
12,1,30,"[1, 31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331]","[(0, 1), (1, 5), (4, 5), (1, 9), (0, 11), (5, 9), (4, 11), (1, 14), (1, 15), (9, 10), (4, 15), (10, 11)]"
13,1,30,"[1, 31, 61, 91, 121, 151, 181, 211, 241, 271, 301, 331, 361]","[(0, 1), (1, 5), (4, 5), (1, 9), (0, 11), (5, 9), (4, 11), (1, 14), (1, 15), (9, 10), (4, 15), (10, 11), (0, 19)]"
14,727,30,"[727, 757, 787, 817, 847, 877, 907, 937, 967, 997, 1027, 1057, 1087, 1117]","[(13, 18), (1, 27), (2, 27), (9, 23), (11, 22), (3, 28), (7, 26), (3, 29), (7, 27), (13, 23), (2, 31), (1, 32), (17, 21), (9, 28)]"
15,727,30,"[727, 757, 787, 817, 847, 877, 907, 937, 967, 997, 1027, 1057, 1087, 1117, 1147]","[(13, 18), (1, 27), (2, 27), (9, 23), (11, 22), (3, 28), (7, 26), (3, 29), (7, 27), (13, 23), (2, 31), (1, 32), (17, 21), (9, 28), (11, 27)]"
16,1033,90,"[1033, 1123, 1213, 1303, 1393, 1483, 1573, 1663, 1753, 1843, 1933, 2023, 2113, 2203, 2293, 2383]","[(16, 21), (1, 33), (11, 28), (14, 27), (9, 32), (1, 38), (11, 33), (21, 26), (19, 29), (7, 39), (13, 36), (17, 34), (24, 29), (23, 31), (7, 44), (13, 41)]"
17,1033,90,"[1033, 1123, 1213, 1303, 1393, 1483, 1573, 1663, 1753, 1843, 1933, 2023, 2113, 2203, 2293, 2383, 2473]","[(16, 21), (1, 33), (11, 28), (14, 27), (9, 32), (1, 38), (11, 33), (21, 26), (19, 29), (7, 39), (13, 36), (17, 34), (24, 29), (23, 31), (7, 44), (13, 41), (17, 39)]"
18,2341,630,"[2341, 2971, 3601, 4231, 4861, 5491, 6121, 6751, 7381, 8011, 8641, 9271, 9901, 10531, 11161, 11791, 12421, 13051]","[(19, 36), (1, 54), (9, 55), (34, 41), (15, 61), (34, 51), (16, 69), (6, 79), (44, 55), (1, 89), (29, 75), (41, 69), (1, 99), (29, 85), (41, 79), (5, 106), (36, 89), (15, 106)]"
19,2341,630,"[2341, 2971, 3601, 4231, 4861, 5491, 6121, 6751, 7381, 8011, 8641, 9271, 9901, 10531, 11161, 11791, 12421, 13051, 13681]","[(19, 36), (1, 54), (9, 55), (34, 41), (15, 61), (34, 51), (16, 69), (6, 79), (44, 55), (1, 89), (29, 75), (41, 69), (1, 99), (29, 85), (41, 79), (5, 106), (36, 89), (15, 106), (64, 71)]"
20,21469,1350,"[21469, 22819, 24169, 25519, 26869, 28219, 29569, 30919, 32269, 33619, 34969, 36319, 37669, 39019, 40369, 41719, 43069, 44419, 45769, 47119]","[(3, 145), (15, 143), (45, 128), (23, 147), (20, 153), (42, 143), (77, 120), (25, 162), (92, 115), (65, 142), (0, 187), (83, 135), (60, 157), (70, 153), (15, 193), (45, 178), (47, 180), (75, 163), (83, 160), (42, 193)]"
21,21469,1350,"[21469, 22819, 24169, 25519, 26869, 28219, 29569, 30919, 32269, 33619, 34969, 36319, 37669, 39019, 40369, 41719, 43069, 44419, 45769, 47119, 48469]","[(3, 145), (15, 143), (45, 128), (23, 147), (20, 153), (42, 143), (77, 120), (25, 162), (92, 115), (65, 142), (0, 187), (83, 135), (60, 157), (70, 153), (15, 193), (45, 178), (47, 180), (75, 163), (83, 160), (42, 193), (97, 155)]"
22,137041,990,"[137041, 138031, 139021, 140011, 141001, 141991, 142981, 143971, 144961, 145951, 146941, 147931, 148921, 149911, 150901, 151891, 152881, 153871, 154861, 155851, 156841, 157831]","[(56, 339), (5, 369), (76, 329), (75, 331), (1, 375), (209, 226), (155, 276), (165, 269), (199, 240), (6, 379), (89, 331), (11, 379), (159, 281), (109, 321), (45, 364), (171, 275), (0, 391), (131, 310), (5, 391), (54, 365), (160, 291), (126, 319)]"
23,137041,990,"[137041, 138031, 139021, 140011, 141001, 141991, 142981, 143971, 144961, 145951, 146941, 147931, 148921, 149911, 150901, 151891, 152881, 153871, 154861, 155851, 156841, 157831, 158821]","[(56, 339), (5, 369), (76, 329), (75, 331), (1, 375), (209, 226), (155, 276), (165, 269), (199, 240), (6, 379), (89, 331), (11, 379), (159, 281), (109, 321), (45, 364), (171, 275), (0, 391), (131, 310), (5, 391), (54, 365), (160, 291), (126, 319), (5, 396)]"
24,137041,990,"[137041, 138031, 139021, 140011, 141001, 141991, 142981, 143971, 144961, 145951, 146941, 147931, 148921, 149911, 150901, 151891, 152881, 153871, 154861, 155851, 156841, 157831, 158821, 159811]","[(56, 339), (5, 369), (76, 329), (75, 331), (1, 375), (209, 226), (155, 276), (165, 269), (199, 240), (6, 379), (89, 331), (11, 379), (159, 281), (109, 321), (45, 364), (171, 275), (0, 391), (131, 310), (5, 391), (54, 365), (160, 291), (126, 319), (5, 396), (210, 251)]"
25,137041,990,"[137041, 138031, 139021, 140011, 141001, 141991, 142981, 143971, 144961, 145951, 146941, 147931, 148921, 149911, 150901, 151891, 152881, 153871, 154861, 155851, 156841, 157831, 158821, 159811, 160801]","[(56, 339), (5, 369), (76, 329), (75, 331), (1, 375), (209, 226), (155, 276), (165, 269), (199, 240), (6, 379), (89, 331), (11, 379), (159, 281), (109, 321), (45, 364), (171, 275), (0, 391), (131, 310), (5, 391), (54, 365), (160, 291), (126, 319), (5, 396), (210, 251), (0, 401)]"
26,270961,56100,"[270961, 327061, 383161, 439261, 495361, 551461, 607561, 663661, 719761, 775861, 831961, 888061, 944161, 1000261, 1056361, 1112461, 1168561, 1224661, 1280761, 1336861, 1392961, 1449061, 1505161, 1561261, 1617361, 1673461]","[(269, 331), (116, 505), (0, 619), (105, 604), (360, 451), (371, 484), (184, 671), (439, 501), (56, 819), (451, 564), (264, 751), (116, 879), (384, 721), (41, 979), (536, 649), (109, 996), (0, 1081), (369, 875), (25, 1119), (575, 756), (309, 995), (649, 740), (160, 1139), (129, 1180), (105, 1216), (500, 969)]"
27,270961,56100,"[270961, 327061, 383161, 439261, 495361, 551461, 607561, 663661, 719761, 775861, 831961, 888061, 944161, 1000261, 1056361, 1112461, 1168561, 1224661, 1280761, 1336861, 1392961, 1449061, 1505161, 1561261, 1617361, 1673461, 1729561]","[(269, 331), (116, 505), (0, 619), (105, 604), (360, 451), (371, 484), (184, 671), (439, 501), (56, 819), (451, 564), (264, 751), (116, 879), (384, 721), (41, 979), (536, 649), (109, 996), (0, 1081), (369, 875), (25, 1119), (575, 756), (309, 995), (649, 740), (160, 1139), (129, 1180), (105, 1216), (500, 969), (496, 995)]"
28,2235271,129030,"[2235271, 2364301, 2493331, 2622361, 2751391, 2880421, 3009451, 3138481, 3267511, 3396541, 3525571, 3654601, 3783631, 3912661, 4041691, 4170721, 4299751, 4428781, 4557811, 4686841, 4815871, 4944901, 5073931, 5202961, 5331991, 5461021, 5590051, 5719081]","[(190, 1391), (851, 924), (510, 1261), (40, 1599), (895, 1019), (305, 1524), (534, 1405), (99, 1720), (466, 1529), (85, 1799), (619, 1490), (249, 1775), (374, 1731), (425, 1731), (839, 1455), (224, 1921), (510, 1771), (564, 1765), (305, 1966), (711, 1720), (646, 1799), (660, 1819), (759, 1775), (0, 2281), (711, 1870), (731, 1884), (499, 2075), (656, 1995)]"
